code,name,gender,country,disciplines,birth_date
1550150,PAUL Georges Julien,Male,Mauritius,Badminton,1996-01-07
1554968,MEKTIC Nikola,Male,Croatia,Tennis,1988-12-24
1561253,QUINTINO Jessica,Female,Brazil,Handball,1991-04-17
1563335,QUAKE,Male,Chinese Taipei,Breaking,1999-09-21
1564559,TAKAYAWA Gerard,Male,Fiji,Judo,2005-11-07
1566441,FRANK Tanja,Female,Austria,Sailing,1993-01-24
1572558,AASTEDT Sofia,Female,Sweden,Swimming,
1572617,BAUER Christina,Female,France,Volleyball,1988-01-01
1573136,LIZAKOWSKA Weronika,Female,Poland,Athletics,1998-11-02
1879111,OUMIHA Sofiane,Male,France,Boxing,1994-12-23
1879831,FOPPA Pauletta,Female,France,Handball,2000-12-22
1887978,CIOBANU Victor,Male,Republic of Moldova,Wrestling,1992-10-07
1888156,KITAGAWA Hikaru,Female,Japan,Football,1997-05-10
1888973,TOLBA Youssof,Male,Egypt,Archery,
1891002,DAVIDSON Madaline,Female,New Zealand,Trampoline Gymnastics,1999-01-08
1899035,SANFORD Liam,Male,Great Britain,Hockey,1996-03-14
1899257,STOCKSCHLAEDER Johanna Maria,Female,Germany,Handball,1995-02-11
1901562,de la CRUZ de PENA Bethania,Female,Dominican Republic,Volleyball,1987-05-13
1901750,WU Tongtong,Female,China,Basketball,1994-06-27
1901756,SUN Mengran,Female,China,Basketball,1992-07-16
1902180,HASEGAWA Akiko,Female,Japan,Beach Volleyball,1985-11-30
1906480,FINGER Anton,Male,Germany,Rowing,1998-08-01
1907194,SORGIUS Timo,Male,Germany,Swimming,
1907658,DANANI Santiago,Male,Argentina,Volleyball,1995-12-12
1911929,SAIDY Fabrisio,Male,France,Athletics,
1913218,LIN Xiyu Janet,Female,China,Golf,1996-02-25
1917762,SKINNER Avery,Female,United States,Volleyball,1999-04-25
1920302,KRAFZIK Carolina,Female,Germany,Athletics,1995-03-27
1924385,ATKIN Sam,Male,Great Britain,Athletics,1993-03-14
1925355,CHAMIZO MARQUEZ Frank,Male,Italy,Wrestling,1992-07-10
1925641,BERTOCCHI Elena,Female,Italy,Diving,
1925806,BANCHELLI Caterina,Female,Italy,Water Polo,2000-09-25
1539131,BERTEMES Bob,Male,Luxembourg,Athletics,1993-05-24
1539954,WALSH Grainne,Female,Ireland,Boxing,1995-10-13
1551330,NALBANTOVA Kaloyana,Female,Bulgaria,Badminton,2006-03-06
1552154,ACCAME Ilaria Elvira,Female,Italy,Athletics,2001-08-31
1554997,LOEFQVIST Olivia,Female,Sweden,Handball,1998-07-13
1561242,ARENHART Barbara,Female,Brazil,Handball,1986-10-04
1562779,ANDERSON Navasky,Male,Jamaica,Athletics,2000-01-21
1562874,MUELLER Svenja,Female,Germany,Beach Volleyball,2001-02-13
1568167,ONDER Ahmet,Male,Türkiye,Artistic Gymnastics,
1574118,SOYIZWAPI Siviwe,Male,South Africa,Rugby Sevens,1992-12-07
1878450,REINKIND Harald,Male,Norway,Handball,1992-08-17
1878525,BRUN Kristoffer,Male,Norway,Rowing,1988-04-07
1879856,ZAADI DEUNA Grace,Female,France,Handball,1993-07-07
1888831,SEJA Arturas,Male,Lithuania,Canoe Sprint,1996-03-17
1889162,FAROUK Mohamed,Male,Egypt,Diving,2002-12-13
1891289,AGBEGNENOU Clarisse,Female,France,Judo,1992-10-25
1892105,HABARTA Tomas,Male,Czechia,Athletics,2003-07-10
1892647,KWIZERA Rodrigue,Male,Burundi,Athletics,
1895553,BACARI Elie,Male,Belgium,Athletics,2003-10-14
1896822,ALIKULOV Khusniddin,Male,Uzbekistan,Football,1999-04-04
1898472,EMOMALI Nurali,Male,Tajikistan,Judo,2002-04-08
1899731,BECKETT Michael,Male,Great Britain,Sailing,1995-03-27
1901063,FIELDMAN Henry,Male,Great Britain,Rowing,1988-11-25
1901337,NOSKOVA Linda,Female,Czechia,Tennis,
1901954,WATANABE Yuta,Male,Japan,Basketball,1994-10-13
1903122,GOMMERS Aiko,Female,Belgium,Cycling BMX Racing,2004-03-18
1908825,VO Thi Kim Anh,Female,Vietnam,Boxing,1997-07-29
1910646,BONNIN Marie-Julie,Female,France,Athletics,2001-12-17
1912009,RICHARDSON Lewis,Male,Great Britain,Boxing,1997-06-04
1913958,ZHAO Nan,Female,China,Shooting,2004-05-14
1914295,ODKHUU Tsetsentsengel,Male,Mongolia,Judo,1999-10-18
1917792,LIJTENSTEIN Guillermo,Male,Uruguay,Rugby Sevens,1990-09-14
1918706,ISHIKAWA Yuki,Male,Japan,Volleyball,1995-12-11
1921364,RUSSO Roberto,Male,Italy,Volleyball,1997-02-23
1924384,ASHER-SMITH Dina,Female,Great Britain,Athletics,
1924401,CAIRESS Emile,Male,Great Britain,Athletics,1997-12-27
1926839,TUOHETAERBIEKE Tanglatihan,Male,China,Boxing,1996-11-18
1927402,LI Dongyin,Female,China,Canoe Sprint,1995-07-06
1928287,CULLELL ESTAPE Jofre,Male,Spain,Cycling Mountain Bike,1999-03-10
1930254,TOLEUGALI Batyrkhan,Male,Kazakhstan,Taekwondo,2006-07-25
1931269,KIM Euro,Male,Korea,Cycling Road,1999-10-07
1535260,LOPEZ GARCIA Alexis,Male,Mexico,Rowing,1997-05-01
1537002,BOBIMBO Vanessa,Female,Congo,Swimming,1999-12-08
1543320,BERGIN Alison,Female,Ireland,Rowing,2002-02-25
1544358,SINGH Akshdee,Male,India,Athletics,1999-11-22
1547098,NATARAJ Srihari,Male,India,Swimming,2001-01-16
1547764,HIEBERT Xenia,Female,Paraguay,Athletics,1998-11-13
1551184,CHIRUTA Mihai,Male,Romania,Rowing,1998-09-26
1556390,MATHEUS Melany del Pilar,Female,Cuba,Athletics,2001-01-19
1560991,HEALEY Penny,Female,Great Britain,Archery,
1562091,DAVEUA Raijieli,Female,Fiji,Rugby Sevens,1992-05-30
1562768,GEORGIEVA Valentina,Female,Bulgaria,Artistic Gymnastics,
1563783,GOGL-WALLI Susanne,Female,Austria,Athletics,1996-05-05
1572623,RESPAUT Emilie,Female,France,Volleyball,2003-04-25
1572906,GORYCKA Paula,Female,Poland,Cycling Mountain Bike,1990-11-05
1880166,ERGASHEV Khabibullo,Male,Uzbekistan,Artistic Gymnastics,
1888982,GUVENC Gizem,Female,Türkiye,Swimming,
1889144,ALI Jana,Female,Egypt,Archery,
1891976,STEINLEIN Theresa Marie,Female,Germany,Sailing,2002-03-06
1895861,CERUNDOLO Francisco,Male,Argentina,Tennis,
1896760,ABE Uta,Female,Japan,Judo,2000-07-14
1898985,CRACKLES Fiona,Female,Great Britain,Hockey,2000-02-11
1901074,HENRY Lauren,Female,Great Britain,Rowing,2001-12-21
1901079,LONG Heidi,Female,Great Britain,Rowing,1996-11-29
1903557,HOPKIN Anna,Female,Great Britain,Swimming,
1909118,KALLIOINEN Eetu,Male,Finland,Shooting,1998-05-23
1910753,GLETTY Makenson,Male,France,Athletics,1999-04-02
1913795,JAKOB Maike,Female,Germany,Canoe Sprint,2005-10-25
1913913,LI Yuehong,Male,China,Shooting,1989-08-28
1916234,PATRICE Jean-Philippe,Male,France,Fencing,1997-03-12
1918092,NUSS Kristen,Female,United States,Beach Volleyball,1997-12-16
1918657,TAKAHASHI Kentaro,Male,Japan,Volleyball,1995-02-08
1920412,MORDI Manuel,Male,Germany,Athletics,2003-08-15
1925647,BRUNI Lorenzo,Male,Italy,Water Polo,1994-04-08
1927393,LIU Hao,Male,China,Canoe Sprint,
1552387,FANTINI Sara,Female,Italy,Athletics,1997-09-16
1553257,BAUER Katharina,Female,Germany,Archery,
1555074,TURDIBEKOVA Sitora,Female,Uzbekistan,Boxing,2002-05-20
1560783,CODATO Alice,Female,Italy,Rowing,2003-09-26
1561397,MICHEEL Lena,Female,Germany,Hockey,1998-04-29
1566414,BORCHASHVILI Wachid,Male,Austria,Judo,1998-09-24
1569288,ASKAG Maja,Female,Sweden,Athletics,2002-12-18
1573064,CZYKIER Damian,Male,Poland,Athletics,1992-08-10
1887757,OZBAY Cansu,Female,Türkiye,Volleyball,1996-10-17
1890602,GOULE-TOPPIN Natoya,Female,Jamaica,Athletics,1991-03-30
1892127,KUBELIK Eduard,Male,Czechia,Athletics,2002-10-08
1893179,KARABATIC Luka,Male,France,Handball,1988-04-19
1895228,LINDBERG Hans,Male,Denmark,Handball,1981-08-01
1895623,MASSEY Becky,Female,Belgium,Basketball,2000-03-21
1897640,KHARKOVA Vlada,Female,Ukraine,Fencing,
1899052,WILLIAMSON Conor,Male,Great Britain,Hockey,2001-12-20
1901303,MAYORA PERNIA Julio,Male,Venezuela,Weightlifting,1996-09-02
1901958,HIEJIMA Makoto,Male,Japan,Basketball,1990-08-11
1903163,de WINNE Flore,Female,Belgium,Equestrian,1995-04-05
1903180,MAGNUS Tine,Female,Belgium,Equestrian,1991-08-25
1903213,de SLOOVER Arthur,Male,Belgium,Hockey,1997-05-03
1903224,KINA Antoine,Male,Belgium,Hockey,1996-02-13
1903297,NUYTINCK Cedric,Male,Belgium,Table Tennis,1993-01-06
1907876,LARROQUE Koumba,Female,France,Wrestling,1998-08-22
1907946,PASCOAL Stelvia,Female,Angola,Handball,2002-10-20
1911947,SPILLMANN Yann,Male,France,Athletics,2002-07-15
1912052,DELACOUR Perrine,Female,France,Golf,1994-04-05
1915766,BIJAC Marko,Male,Croatia,Water Polo,1991-01-12
1918063,QUEJADA MINOTA Yirleidys,Female,Colombia,Football,2002-11-10
1918425,CUI Xiaotong,Female,China,Rowing,1994-11-21
1921738,ORRO Alessia,Female,Italy,Volleyball,1998-07-18
1924460,NEITA Daryll,Female,Great Britain,Athletics,
1925275,TOTI Giovanni,Male,Italy,Badminton,2000-12-28
1925702,ZUNINO Francesca,Female,Italy,Artistic Swimming,2000-02-13
1537518,CASETTA Belen,Female,Argentina,Athletics,1994-09-26
1540710,ZUMAYA FLORES Goretti Alejandra,Female,Mexico,Shooting,1997-05-31
1544208,SOLARTE Alejandro,Male,Colombia,Diving,2001-09-21
1550042,MELENDEZ Tayra,Female,Puerto Rico,Basketball,1993-10-29
1550119,NASIBOV Parviz,Male,Ukraine,Wrestling,1998-08-18
1550176,GHIGOARTA Amalia,Female,Romania,Artistic Gymnastics,
1552383,SOTTILE Stefano,Male,Italy,Athletics,1998-01-26
1554952,HANSSON Elin,Female,Sweden,Handball,1996-08-07
1556244,TIC Marius-Florin,Male,Romania,Water Polo,1996-09-09
1561274,VIEIRA Samara,Female,Brazil,Handball,1991-10-07
1566120,KOKAS Raphael,Male,Austria,Cycling Track,2004-11-07
1569829,OPEYORI Anuoluwapo Juwon,Male,Nigeria,Badminton,1997-06-01
1878395,SLETSJOEE Anna Margrete,Female,Norway,Canoe Sprint,
1878518,AARDAHL Maren,Female,Norway,Handball,1994-03-02
1879164,BJERG Mikkel Norsgaard,Male,Denmark,Cycling Road,
1889745,BENZ Nina,Female,Germany,Cycling Mountain Bike,1998-07-30
1891608,TAKEHARA Hidekazu,Male,Japan,Swimming,2004-04-27
1891630,SUZUKI Satomi,Female,Japan,Swimming,
1893557,NAPARE Souleymane,Male,Burkina Faso,Swimming,2003-03-31
1895238,JAKOBSEN Emil,Male,Denmark,Handball,1998-01-24
1896204,KOSAN Anja,Female,Germany,Rhythmic Gymnastics,2002-12-12
1897675,CHEKAN Vladyslav,Male,Ukraine,Modern Pentathlon,2002-01-09
1898297,LOIV Janika,Female,Estonia,Cycling Mountain Bike,1989-11-28
1899246,STEINERT Christoph,Male,Germany,Handball,1990-01-18
1901744,HUANG Sijing,Female,China,Basketball,1996-01-08
1902301,WANG Chuqin,Male,China,Table Tennis,
1905843,le NINDRE Paola,Female,France,Hockey,2006-06-16
1910421,CHEPKOECH Beatrice,Female,Kenya,Athletics,1991-07-06
1910508,McILROY Rory,Male,Ireland,Golf,1989-05-04
1912250,FERNANDEZ Maria Pia,Female,Uruguay,Athletics,1995-04-01
1917757,PLUMMER Kathryn,Female,United States,Volleyball,1998-10-16
1918000,HOLT Maxwell,Male,United States,Volleyball,1987-03-12
1920162,LITA BAEHRE Bo Kanda,Male,Germany,Athletics,1999-04-29
1920637,MADARASZ Viktoria,Female,Hungary,Athletics,1985-05-12
1920708,TAIEB Mohamed,Male,Tunisia,Rowing,1996-10-15
1924909,LIMARDO Francisco,Male,Venezuela,Fencing,
1540120,FERNANDEZ Federico,Male,Argentina,Handball,1989-10-17
1550327,KHIEW Hoe Yean,Male,Malaysia,Swimming,2002-09-02
1565550,ZHANG Bo-Ya,Female,Chinese Taipei,Athletics,2003-04-03
1566680,HEMEIDA Bassem,Male,Qatar,Athletics,2000-03-28
1569203,DUPLANTIS Armand,Male,Sweden,Athletics,1999-11-10
1880160,AZIMOV Abdulla,Male,Uzbekistan,Artistic Gymnastics,
1888209,TANAKA Mina,Female,Japan,Football,1994-04-28
1888423,GUERRERO Sebastien,Male,France,Shooting,1987-07-18
1889080,HANSEN Jesper,Male,Denmark,Shooting,1980-11-19
1889706,KLUGE Roger,Male,Germany,Cycling Track,
1895903,TIAFACK Nelvie Raman,Male,Germany,Boxing,1999-01-03
1896662,OSAKA Naomi,Female,Japan,Tennis,1997-10-16
1899004,JONES Sarah,Female,Great Britain,Hockey,1990-06-25
1900441,SKUPSKI Neal,Male,Great Britain,Tennis,1989-12-01
1901040,BREW Chloe,Female,Great Britain,Rowing,1995-09-14
1901619,JI Yuchan,Male,Korea,Swimming,2002-08-24
1902450,BETLEHEM David,Male,Hungary,"Marathon Swimming, Swimming",
1902597,XU Nuo,Female,China,Fencing,1998-03-05
1903205,BLOCKMANS Vanessa,Female,Belgium,Hockey,2002-04-04
1903272,VERSTRAELEN Eline,Female,Belgium,Sailing,2002-06-05
1904363,RAITANEN Topi,Male,Finland,Athletics,1996-02-07
1907247,HOLT Nina,Female,Germany,Swimming,
1911884,PARISOT Helene,Female,France,Athletics,
1911954,TAVERNIER Alexandra,Female,France,Athletics,1993-12-13
1918086,HUGHES Sara,Female,United States,Beach Volleyball,1995-02-14
1918424,CHEN Yunxia,Female,China,Rowing,1995-12-05
1918934,CHEN Jinfeng,Male,China,Athletics,2004-08-08
1919094,LI Jiangyan,Female,China,Athletics,1999-05-22
1920305,STEINACKER Marike,Female,Germany,Athletics,1992-04-03
1921757,de GENNARO Monica,Female,Italy,Volleyball,1987-01-08
1922191,MARKOVIC Martin,Male,Croatia,Athletics,1996-01-13
1922687,DIFFERT Nelli,Female,Estonia,Fencing,1990-07-24
1925088,ARGUELLO VILLEGAS Betzabeth Angeli,Female,Venezuela,Wrestling,1991-01-28
1926569,REED Davon,Male,Puerto Rico,Basketball,1995-06-11
1929613,TANIYEVA Elzhana,Female,Kazakhstan,Rhythmic Gymnastics,2005-09-06
1932820,BIBOSSINOV Saken,Male,Kazakhstan,Boxing,1997-07-03
1538044,CRUZ SAUBIDET BIRKNER Francisco,Male,Argentina,Sailing,1998-10-05
1547891,VERITA' Davide,Male,Italy,Rowing,2000-10-31
1550264,MUNTEAN Andrei-Vasile,Male,Romania,Artistic Gymnastics,1993-01-30
1550661,van GRONINGEN Gianina Elena,Female,Romania,Rowing,1995-05-21
1555457,PORTER Chanice,Female,Jamaica,Athletics,1994-05-25
1568163,COLAK Ibrahim,Male,Türkiye,Artistic Gymnastics,
1571547,RYZHYKOVA Anna,Female,Ukraine,Athletics,1989-11-24
1573445,FAUTHOUX Marine,Female,France,Basketball,2001-01-23
1880558,ISKHOKZODA Mumtozabonu,Female,Uzbekistan,Rhythmic Gymnastics,2005-12-31
1880595,HEGERING Marina,Female,Germany,Football,1990-04-17
1889704,FRIEDRICH Lea,Female,Germany,Cycling Track,
1895241,JACOBSEN Magnus Landin,Male,Denmark,Handball,1995-08-20
1898375,ORDEMANN Richard Andre,Male,Norway,Taekwondo,1994-08-06
1898845,WAGNER Moritz,Male,Germany,Basketball,1997-04-26
1899732,BLACK Freya,Female,Great Britain,Sailing,2001-05-22
1900857,WILLIAMS Noah,Male,Great Britain,Diving,
1903281,VLIEGEN Joran,Male,Belgium,Tennis,1993-07-07
1913770,LILIK Elena,Female,Germany,Canoe Slalom,
1917802,Mc CUBBIN James,Male,Uruguay,Rugby Sevens,1998-05-27
1917994,ENSING Kyle,Male,United States,Volleyball,1997-03-06
1925706,PICCOLI Enrica,Female,Italy,Artistic Swimming,1999-01-19
1926487,SMITH Jake,Male,New Zealand,Hockey,1991-04-03
1536032,HERNANDEZ FLORES Margarita,Female,Mexico,Athletics,1985-12-03
1537661,ABUZRIBA Ahmed,Male,Libya,Weightlifting,2000-04-16
1542468,BOPANNA Rohan,Male,India,Tennis,1980-03-04
1543430,GONZALEZ Jhancarlos,Male,Colombia,Skateboarding,1997-03-14
1550630,RUSU Maria Magdalena,Female,Romania,Rowing,
1552175,POLINARI Anna,Female,Italy,Athletics,
1563243,PARADA Alejandro,Male,Cuba,Athletics,2004-07-05
1564770,BATBAYAR Enkhkhuslen,Female,Mongolia,Swimming,2001-12-14
1566624,OZYUKSEL Ilke,Female,Türkiye,Modern Pentathlon,1997-02-26
1569336,LOFMAN Thea,Female,Sweden,Athletics,2003-09-08
1572094,LEE Chia Hsin,Female,Chinese Taipei,Badminton,1997-05-11
1888348,ASAI Yu,Female,Japan,Hockey,1996-01-08
1896661,DANIEL Taro,Male,Japan,Tennis,
1897013,LIVACH Oksana,Female,Ukraine,Wrestling,1997-05-14
1897227,SEMBERG Abishag,Female,Israel,Taekwondo,2001-09-16
1897353,GERCHIK David,Male,Israel,Swimming,2001-02-20
1897537,KATE,Female,Ukraine,Breaking,1995-06-02
1897843,DAVIES Thelma,Female,Liberia,Athletics,2000-05-08
1898993,FRENCH Hannah,Female,Great Britain,Hockey,1994-12-30
1901066,GEORGE Tom,Male,Great Britain,Rowing,1994-09-22
1902148,NAM Suhyeon,Female,Korea,Archery,
1902488,HALLIFAX Emily,Female,France,Diving,2005-12-09
1902547,FABIAN Bettina,Female,Hungary,Marathon Swimming,2004-12-13
1903147,van AERT Wout,Male,Belgium,Cycling Road,
1903174,WATHELET Gregory,Male,Belgium,Equestrian,1980-09-10
1907219,IMOUDU Melvin,Male,Germany,Swimming,
1909490,UGRAI Panna,Female,Hungary,Swimming,
1911945,SOMBE David,Male,France,Athletics,2000-04-24
1913647,DING Xia,Female,China,Volleyball,1990-01-13
1913734,BRENDEL Sebastian,Male,Germany,Canoe Sprint,1988-03-12
1914238,ENKHTAIVAN Ariunbold,Male,Mongolia,Judo,1995-10-08
1915455,PAOLI Alessandro,Male,Italy,Archery,
1917388,MOJICA CHALARCA Laura Cristina,Female,Colombia,Athletics,2000-06-20
1918003,JENDRYK II Jeffrey,Male,United States,Volleyball,1995-09-15
1918659,FUKATSU Akihiro,Male,Japan,Volleyball,1987-07-23
1919117,WU Xiangdong,Male,China,Athletics,1994-01-17
1925513,PIRAS Matteo,Male,Italy,Judo,1993-09-30
1926078,PHIRI Mia,Female,Zambia,Swimming,2003-05-05
1926485,THOMPSON JR. Stephen,Male,Puerto Rico,Basketball,1997-03-23
1927952,HANNESDOTTIR Edda,Female,Iceland,Triathlon,1994-12-08
1537049,BAREGA Selemon,Male,Ethiopia,Athletics,
1540497,PIZARRO Ignacio,Male,Argentina,Handball,1990-02-08
1545023,LYTVYNENKO Yelyzaveta,Female,Ukraine,Judo,2004-02-11
1545501,LAI Kuan-Chieh,Male,Chinese Taipei,Canoe Sprint,1996-12-29
1552039,LUNGU Andrei,Male,Romania,Rowing,2000-08-06
1555098,HARRINGTON Kellie,Female,Ireland,Boxing,1989-12-11
1564445,SALIUK Volodymyr,Male,Ukraine,Football,2002-06-25
1567073,DIOMANDE Ahmed,Male,Mali,Football,2002-12-15
1571520,OLYANOVSKA Lyudmila,Female,Ukraine,Athletics,
1571815,AFRIFAH Blessing Akwasi,Male,Israel,Athletics,2003-10-26
1880494,LEONARD Loic,Male,France,Canoe Sprint,1996-01-04
1887764,SOBIRJONOVA Ozoda,Female,Uzbekistan,Taekwondo,2002-12-07
1889129,NORDAS Narve Gilje,Male,Norway,Athletics,
1891681,ARAI Matsuri,Female,Japan,Diving,2001-01-18
1892034,NONAKA Miho,Female,Japan,Sport Climbing,1997-05-21
1892130,MANASOVA Karolina,Female,Czechia,Athletics,2003-11-26
1892137,OGRODNIKOVA Nikola,Female,Czechia,Athletics,1990-08-18
1893976,PARK Hajun,Male,Korea,Shooting,2000-04-19
1895223,JACOBSEN Niklas Landin,Male,Denmark,Handball,1988-12-19
