medal_date,medal_type,medal_code,name,gender,country_long,nationality_long,discipline,event,birth_date,code_athlete,is_medallist
2024-07-27,Gold Medal,1.0,EVENEPOEL Remco,Male,Belgium,Belgium,Cycling Road,Men's Individual Time Trial,2000-01-25,1903136,true
2024-07-27,Silver Medal,2.0,GANNA Filippo,Male,Italy,Italy,Cycling Road,Men's Individual Time Trial,1996-07-25,1923520,true
2024-07-27,Bronze Medal,3.0,van AERT Wout,Male,Belgium,Belgium,Cycling Road,Men's Individual Time Trial,1994-09-15,1903147,true
2024-07-27,Gold Medal,1.0,BROWN Grace,Female,Australia,Australia,Cycling Road,Women's Individual Time Trial,1992-07-07,1940173,true
2024-07-27,Silver Medal,2.0,HENDERSON Anna,Female,Great Britain,Great Britain,Cycling Road,Women's Individual Time Trial,1998-11-14,1912525,true
2024-07-27,Bronze Medal,3.0,DYGERT Chloe,Female,United States of America,United States of America,Cycling Road,Women's Individual Time Trial,1997-01-01,1955079,true
2024-07-27,Gold Medal,1.0,OH Sanguk,Male,Republic of Korea,Republic of Korea,Fencing,Men's Sabre Individual,1996-09-30,1927149,true
2024-07-27,Silver Medal,2.0,FERJANI Fares,Male,Tunisia,Tunisia,Fencing,Men's Sabre Individual,1997-07-22,1937783,true
2024-07-27,Bronze Medal,3.0,SAMELE Luigi,Male,Italy,Italy,Fencing,Men's Sabre Individual,1987-07-25,1924595,true
2024-07-27,Gold Medal,1.0,KONG Man Wai Vivian,Female,"Hong Kong, China","Hong Kong, China",Fencing,Women's Épée Individual,1994-02-08,1963262,true
2024-07-27,Silver Medal,2.0,MALLO-BRETON Auriane,Female,France,France,Fencing,Women's Épée Individual,1993-10-11,1916183,true
2024-07-27,Bronze Medal,3.0,MUHARI Eszter,Female,Hungary,Hungary,Fencing,Women's Épée Individual,2002-09-30,1946375,true
2024-07-27,Gold Medal,1.0,SMETOV Yeldos,Male,Kazakhstan,Kazakhstan,Judo,Men -60 kg,1992-09-09,1935408,true
2024-07-27,Silver Medal,2.0,MKHEIDZE Luka,Male,France,France,Judo,Men -60 kg,1996-01-05,1891304,true
2024-07-27,Bronze Medal,3.0,NAGAYAMA Ryuju,Male,Japan,Japan,Judo,Men -60 kg,1996-04-15,1896752,true
2024-07-27,Bronze Medal,3.0,GARRIGOS Francisco,Male,Spain,Spain,Judo,Men -60 kg,1994-12-09,1563544,true
2024-07-27,Gold Medal,1.0,TSUNODA Natsumi,Female,Japan,Japan,Judo,Women -48 kg,1992-08-06,1896735,true
2024-07-27,Silver Medal,2.0,BAVUUDORJ Baasankhuu,Female,Mongolia,Mongolia,Judo,Women -48 kg,1999-11-26,1914467,true
2024-07-27,Bronze Medal,3.0,BOUKLI Shirine,Female,France,France,Judo,Women -48 kg,1999-01-24,1891280,true
2024-07-27,Bronze Medal,3.0,BABULFATH Tara,Female,Sweden,Sweden,Judo,Women -48 kg,2006-01-03,1571911,true
2024-07-27,Gold Medal,1.0,MAERTENS Lukas,Male,Germany,Germany,Swimming,Men's 400m Freestyle,2001-12-27,1907192,true
2024-07-27,Silver Medal,2.0,WINNINGTON Elijah,Male,Australia,Australia,Swimming,Men's 400m Freestyle,2000-05-05,1946172,true
2024-07-27,Bronze Medal,3.0,KIM Woomin,Male,Republic of Korea,Republic of Korea,Swimming,Men's 400m Freestyle,2001-08-24,4654306,true
2024-07-27,Gold Medal,1.0,TITMUS Ariarne,Female,Australia,Australia,Swimming,Women's 400m Freestyle,2000-09-07,1946150,true
2024-07-27,Silver Medal,2.0,McINTOSH Summer,Female,Canada,Canada,Swimming,Women's 400m Freestyle,2006-08-18,1967140,true
2024-07-27,Bronze Medal,3.0,LEDECKY Katie,Female,United States of America,United States of America,Swimming,Women's 400m Freestyle,1997-03-17,1935938,true
2024-07-28,Gold Medal,1.0,FOX Jessica,Female,Australia,Australia,Canoe Slalom,Women's Kayak Single,1994-06-11,1940205,true
2024-07-28,Silver Medal,2.0,ZWOLINSKA Klaudia,Female,Poland,Poland,Canoe Slalom,Women's Kayak Single,1998-12-18,1942126,true
2024-07-28,Bronze Medal,3.0,WOODS Kimberley,Female,Great Britain,Great Britain,Canoe Slalom,Women's Kayak Single,1995-09-08,1896045,true
2024-07-28,Gold Medal,1.0,FERRAND PREVOT Pauline,Female,France,France,Cycling Mountain Bike,Women's Cross-country,1992-02-10,1895672,true
2024-07-28,Silver Medal,2.0,BATTEN Haley,Female,United States of America,United States of America,Cycling Mountain Bike,Women's Cross-country,1998-09-19,1955070,true
2024-07-28,Bronze Medal,3.0,RISSVEDS Jenny,Female,Sweden,Sweden,Cycling Mountain Bike,Women's Cross-country,1994-06-06,1564023,true
2024-07-28,Gold Medal,1.0,KANO Koki,Male,Japan,Japan,Fencing,Men's Épée Individual,1997-12-19,1896548,true
2024-07-28,Silver Medal,2.0,BOREL Yannick,Male,France,France,Fencing,Men's Épée Individual,1988-11-05,1916194,true
2024-07-28,Bronze Medal,3.0,ELSAYED Mohamed,Male,Egypt,Egypt,Fencing,Men's Épée Individual,2003-03-03,1936462,true
2024-07-28,Gold Medal,1.0,KIEFER Lee,Female,United States of America,United States of America,Fencing,Women's Foil Individual,1994-06-15,1950611,true
2024-07-28,Silver Medal,2.0,SCRUGGS Lauren,Female,United States of America,United States of America,Fencing,Women's Foil Individual,2003-01-27,1950643,true
2024-07-28,Bronze Medal,3.0,HARVEY Eleanor,Female,Canada,Canada,Fencing,Women's Foil Individual,1995-01-14,1973213,true
2024-07-28,Gold Medal,1.0,ABE Hifumi,Male,Japan,Japan,Judo,Men -66 kg,1997-08-09,1896763,true
2024-07-28,Silver Medal,2.0,LIMA Willian,Male,Brazil,Brazil,Judo,Men -66 kg,2000-01-31,1953840,true
2024-07-28,Bronze Medal,3.0,KYRGYZBAYEV Gusman,Male,Kazakhstan,Kazakhstan,Judo,Men -66 kg,1992-09-28,1935410,true
2024-07-28,Bronze Medal,3.0,VIERU Denis,Male,Republic of Moldova,Republic of Moldova,Judo,Men -66 kg,1996-03-10,1561138,true
2024-07-28,Gold Medal,1.0,KELDIYOROVA Diyora,Female,Uzbekistan,Uzbekistan,Judo,Women -52 kg,1998-07-13,1566997,true
2024-07-28,Silver Medal,2.0,KRASNIQI Distria,Female,Kosovo,Kosovo,Judo,Women -52 kg,1995-12-10,1550162,true
2024-07-28,Bronze Medal,3.0,PIMENTA Larissa,Female,Brazil,Brazil,Judo,Women -52 kg,1999-03-01,1953817,true
2024-07-28,Bronze Medal,3.0,BUCHARD Amandine,Female,France,France,Judo,Women -52 kg,1995-07-12,1891283,true
2024-07-28,Gold Medal,1.0,XIE Yu,Male,People's Republic of China,People's Republic of China,Shooting,10m Air Pistol Men,2000-06-12,1913907,true
2024-07-28,Silver Medal,2.0,MALDINI Federico Nilo,Male,Italy,Italy,Shooting,10m Air Pistol Men,2001-03-28,1551388,true
2024-07-28,Bronze Medal,3.0,MONNA Paolo,Male,Italy,Italy,Shooting,10m Air Pistol Men,1998-04-19,1551387,true
2024-07-28,Gold Medal,1.0,OH Ye Jin,Female,Republic of Korea,Republic of Korea,Shooting,10m Air Pistol Women,2005-05-10,1893972,true
2024-07-28,Silver Medal,2.0,KIM Yeji,Female,Republic of Korea,Republic of Korea,Shooting,10m Air Pistol Women,1992-09-04,1893930,true
2024-07-28,Bronze Medal,3.0,BHAKER Manu,Female,India,India,Shooting,10m Air Pistol Women,2002-02-18,1538159,true
2024-07-28,Gold Medal,1.0,YOSHIZAWA Coco,Female,Japan,Japan,Skateboarding,Women's Street,2009-09-22,1902055,true
2024-07-28,Silver Medal,2.0,AKAMA Liz,Female,Japan,Japan,Skateboarding,Women's Street,2009-01-08,1902069,true
2024-07-28,Bronze Medal,3.0,LEAL Rayssa,Female,Brazil,Brazil,Skateboarding,Women's Street,2008-01-04,1955689,true
2024-07-28,Gold Medal,1.0,MARTINENGHI Nicolo,Male,Italy,Italy,Swimming,Men's 100m Breaststroke,1999-08-01,1925633,true
2024-07-28,Silver Medal,2.0,PEATY Adam,Male,Great Britain,Great Britain,Swimming,Men's 100m Breaststroke,1994-12-28,1956469,true
2024-07-28,Silver Medal,2.0,FINK Nic,Male,United States of America,United States of America,Swimming,Men's 100m Breaststroke,1993-07-03,1935901,true
2024-07-28,Gold Medal,1.0,MARCHAND Leon,Male,France,France,Swimming,Men's 400m Individual Medley,2002-05-17,1909294,true
2024-07-28,Silver Medal,2.0,MATSUSHITA Tomoyuki,Male,Japan,Japan,Swimming,Men's 400m Individual Medley,2005-08-01,1963635,true
2024-07-28,Bronze Medal,3.0,FOSTER Carson,Male,United States of America,United States of America,Swimming,Men's 400m Individual Medley,2001-10-26,1935903,true
2024-07-28,Gold Medal,1.0,HUSKE Torri,Female,United States of America,United States of America,Swimming,Women's 100m Butterfly,2002-12-07,1935923,true
2024-07-28,Silver Medal,2.0,WALSH Gretchen,Female,United States of America,United States of America,Swimming,Women's 100m Butterfly,2003-01-29,1935998,true
2024-07-28,Bronze Medal,3.0,ZHANG Yufei,Female,People's Republic of China,People's Republic of China,Swimming,Women's 100m Butterfly,1998-04-19,1945125,true
2024-07-29,Gold Medal,1.0,GESTIN Nicolas,Male,France,France,Canoe Slalom,Men's Canoe Single,2000-03-14,1880479,true
2024-07-29,Silver Medal,2.0,BURGESS Adam,Male,Great Britain,Great Britain,Canoe Slalom,Men's Canoe Single,1992-07-17,1896030,true
2024-07-29,Bronze Medal,3.0,BENUS Matej,Male,Slovakia,Slovakia,Canoe Slalom,Men's Canoe Single,1987-11-02,1961080,true
2024-07-29,Gold Medal,1.0,PIDCOCK Thomas,Male,Great Britain,Great Britain,Cycling Mountain Bike,Men's Cross-country,1999-07-30,1912546,true
2024-07-29,Silver Medal,2.0,KORETZKY Victor,Male,France,France,Cycling Mountain Bike,Men's Cross-country,1994-08-26,1895687,true
2024-07-29,Bronze Medal,3.0,HATHERLY Alan,Male,South Africa,South Africa,Cycling Mountain Bike,Men's Cross-country,1996-03-15,1943604,true
2024-07-29,Gold Medal,1.0,JUNG Michael,Male,Germany,Germany,Equestrian,Eventing Individual,1982-07-31,1914921,true
2024-07-29,Silver Medal,2.0,BURTON Christopher,Male,Australia,Australia,Equestrian,Eventing Individual,1981-11-22,1940438,true
2024-07-29,Bronze Medal,3.0,COLLETT Laura,Female,Great Britain,Great Britain,Equestrian,Eventing Individual,1989-08-31,1970898,true
2024-07-29,Gold Medal,1.0,CHEUNG Ka Long,Male,"Hong Kong, China","Hong Kong, China",Fencing,Men's Foil Individual,1997-06-10,1963245,true
2024-07-29,Silver Medal,2.0,MACCHI Filippo,Male,Italy,Italy,Fencing,Men's Foil Individual,2001-09-19,1924289,true
2024-07-29,Bronze Medal,3.0,ITKIN Nick,Male,United States of America,United States of America,Fencing,Men's Foil Individual,1999-10-09,1950602,true
2024-07-29,Gold Medal,1.0,APITHY-BRUNET Manon,Female,France,France,Fencing,Women's Sabre Individual,1996-02-07,1916223,true
2024-07-29,Silver Medal,2.0,BALZER Sara,Female,France,France,Fencing,Women's Sabre Individual,1995-04-03,1916222,true
2024-07-29,Bronze Medal,3.0,KHARLAN Olga,Female,Ukraine,Ukraine,Fencing,Women's Sabre Individual,1990-09-04,1897644,true
2024-07-29,Gold Medal,1.0,HEYDAROV Hidayat,Male,Azerbaijan,Azerbaijan,Judo,Men -73 kg,1997-07-27,1972337,true
2024-07-29,Silver Medal,2.0,GABA Joan-Benjamin,Male,France,France,Judo,Men -73 kg,2001-01-07,1891311,true
2024-07-29,Bronze Medal,3.0,OSMANOV Adil,Male,Republic of Moldova,Republic of Moldova,Judo,Men -73 kg,2000-07-02,1563437,true
2024-07-29,Bronze Medal,3.0,HASHIMOTO Soichi,Male,Japan,Japan,Judo,Men -73 kg,1991-08-24,1896740,true
2024-07-29,Gold Medal,1.0,DEGUCHI Christa,Female,Canada,Canada,Judo,Women -57 kg,1995-10-29,1955526,true
2024-07-29,Silver Medal,2.0,HUH Mimi,Female,Republic of Korea,Republic of Korea,Judo,Women -57 kg,2002-12-19,1928067,true
2024-07-29,Bronze Medal,3.0,FUNAKUBO Haruka,Female,Japan,Japan,Judo,Women -57 kg,1998-10-10,1896733,true
2024-07-29,Bronze Medal,3.0,CYSIQUE Sarah Leonie,Female,France,France,Judo,Women -57 kg,1998-07-06,1891286,true
2024-07-29,Gold Medal,1.0,SHENG Lihao,Male,People's Republic of China,People's Republic of China,Shooting,10m Air Rifle Men,2004-12-04,1913899,true
2024-07-29,Silver Medal,2.0,LINDGREN Victor,Male,Sweden,Sweden,Shooting,10m Air Rifle Men,2003-05-16,1572919,true
2024-07-29,Bronze Medal,3.0,MARICIC Miran,Male,Croatia,Croatia,Shooting,10m Air Rifle Men,1997-06-17,1888047,true
2024-07-29,Gold Medal,1.0,BAN Hyojin,Female,Republic of Korea,Republic of Korea,Shooting,10m Air Rifle Women,2007-09-20,1893845,true
2024-07-29,Silver Medal,2.0,HUANG Yuting,Female,People's Republic of China,People's Republic of China,Shooting,10m Air Rifle Women,2006-09-03,1913945,true
2024-07-29,Bronze Medal,3.0,GOGNIAT Audrey,Female,Switzerland,Switzerland,Shooting,10m Air Rifle Women,2002-10-30,1976545,true
2024-07-29,Gold Medal,1.0,HORIGOME Yuto,Male,Japan,Japan,Skateboarding,Men's Street,1999-01-07,1902081,true
