team,team_gender,country_long,discipline,events,athletes
People's Republic of China,M,People's Republic of China,Archery,Men's Team,KAO Wenchao
People's Republic of China,M,People's Republic of China,Archery,Men's Team,LI Zhongyuan
People's Republic of China,M,People's Republic of China,Archery,Men's Team,WANG Yan
Colombia,M,Colombia,Archery,Men's Team,ARCILA Santiago
Colombia,M,Colombia,Archery,Men's Team,ENRIQUEZ Jorge
Colombia,M,Colombia,Archery,Men's Team,HERNANDEZ VERA Andres
France,M,France,Archery,Men's Team,ADDIS Baptiste
France,M,France,Archery,Men's Team,CHIRAULT Thomas
France,M,France,Archery,Men's Team,VALLADONT Jean-Charles
Great Britain,M,Great Britain,Archery,Men's Team,HALL Conor
Great Britain,M,Great Britain,Archery,Men's Team,HALL Tom
Great Britain,M,Great Britain,Archery,Men's Team,WISE Alex
India,M,India,Archery,Men's Team,BOMMADEVARA Dhiraj
India,M,India,Archery,Men's Team,JADHAV Pravin Ramesh
India,M,India,Archery,Men's Team,RAI Tarundeep
Italy,M,Italy,Archery,Men's Team,MUSOLESI Federico
Italy,M,Italy,Archery,Men's Team,NESPOLI Mauro
Italy,M,Italy,Archery,Men's Team,PAOLI Alessandro
Japan,M,Japan,Archery,Men's Team,FURUKAWA Takaharu
Japan,M,Japan,Archery,Men's Team,NAKANISHI Junya
Japan,M,Japan,Archery,Men's Team,SAITO Fumiya
Kazakhstan,M,Kazakhstan,Archery,Men's Team,ABDULLIN Ilfat
Kazakhstan,M,Kazakhstan,Archery,Men's Team,YEREMENKO Alexandr
Kazakhstan,M,Kazakhstan,Archery,Men's Team,ZHANGBYRBAY Dauletkeldi
Republic of Korea,M,Republic of Korea,Archery,Men's Team,KIM Je Deok
Republic of Korea,M,Republic of Korea,Archery,Men's Team,KIM Woojin
Republic of Korea,M,Republic of Korea,Archery,Men's Team,LEE Wooseok
Mexico,M,Mexico,Archery,Men's Team,GRANDE Matias
Mexico,M,Mexico,Archery,Men's Team,MARTINEZ WING Bruno
Mexico,M,Mexico,Archery,Men's Team,ROJAS Carlos
Chinese Taipei,M,Chinese Taipei,Archery,Men's Team,LIN Zih-Siang
Chinese Taipei,M,Chinese Taipei,Archery,Men's Team,TANG Chih-Chun
Chinese Taipei,M,Chinese Taipei,Archery,Men's Team,TAI Yu-Hsuan
Türkiye,M,Türkiye,Archery,Men's Team,GAZOZ Mete
Türkiye,M,Türkiye,Archery,Men's Team,TUMER Berkim
Türkiye,M,Türkiye,Archery,Men's Team,YILDIRMIS Abdullah
People's Republic of China,W,People's Republic of China,Archery,Women's Team,AN Qixuan
People's Republic of China,W,People's Republic of China,Archery,Women's Team,LI Jiaman
People's Republic of China,W,People's Republic of China,Archery,Women's Team,YANG Xiaolei
France,W,France,Archery,Women's Team,BARBELIN Lisa
France,W,France,Archery,Women's Team,CORDEAU Amelie
France,W,France,Archery,Women's Team,LOPEZ Caroline
Great Britain,W,Great Britain,Archery,Women's Team,HEALEY Penny
Great Britain,W,Great Britain,Archery,Women's Team,HAVERS Megan
Great Britain,W,Great Britain,Archery,Women's Team,PITMAN Bryony
Germany,W,Germany,Archery,Women's Team,BAUER Katharina
Germany,W,Germany,Archery,Women's Team,KROPPEN Michelle
Germany,W,Germany,Archery,Women's Team,SCHWARZ Charline
Indonesia,W,Indonesia,Archery,Women's Team,CHOIRUNISA Diananda
Indonesia,W,Indonesia,Archery,Women's Team,KAMAL Syifa Nurafifah
Indonesia,W,Indonesia,Archery,Women's Team,OCTAVIA Rezza
India,W,India,Archery,Women's Team,BHAKAT Ankita
India,W,India,Archery,Women's Team,KAUR Bhajan
India,W,India,Archery,Women's Team,KUMARI Deepika
Republic of Korea,W,Republic of Korea,Archery,Women's Team,JEON Hunyoung
Republic of Korea,W,Republic of Korea,Archery,Women's Team,LIM Sihyeon
Republic of Korea,W,Republic of Korea,Archery,Women's Team,NAM Suhyeon
Malaysia,W,Malaysia,Archery,Women's Team,MASHAYIKH Syaqiera
Malaysia,W,Malaysia,Archery,Women's Team,MOHAMAD FAZIL Nurul Azreena
Malaysia,W,Malaysia,Archery,Women's Team,MOHAMAD ZAIRI Ariana Nur Dania
Mexico,W,Mexico,Archery,Women's Team,RUIZ Angela
Mexico,W,Mexico,Archery,Women's Team,VALENCIA Alejandra
Mexico,W,Mexico,Archery,Women's Team,VAZQUEZ Ana
Netherlands,W,Netherlands,Archery,Women's Team,ROEFFEN Quinty
Netherlands,W,Netherlands,Archery,Women's Team,SCHLOESSER Gaby
Netherlands,W,Netherlands,Archery,Women's Team,van der WINKEL Laura
Chinese Taipei,W,Chinese Taipei,Archery,Women's Team,CHIU Yi-Ching
Chinese Taipei,W,Chinese Taipei,Archery,Women's Team,LEI Chien-Ying
Chinese Taipei,W,Chinese Taipei,Archery,Women's Team,LI Tsai-Chi
United States of America,W,United States of America,Archery,Women's Team,GNORIEGA Catalina
United States of America,W,United States of America,Archery,Women's Team,KAUFHOLD Casey
United States of America,W,United States of America,Archery,Women's Team,MUCINO Jennifer
Australia,X,Australia,Archery,Mixed Team,PAEGLIS Laura
Australia,X,Australia,Archery,Mixed Team,BOUKOUVALAS Peter
Canada,X,Canada,Archery,Mixed Team,CHENIER Virginie
Canada,X,Canada,Archery,Mixed Team,PETERS Eric
People's Republic of China,X,People's Republic of China,Archery,Mixed Team,YANG Xiaolei
People's Republic of China,X,People's Republic of China,Archery,Mixed Team,WANG Yan
Colombia,X,Colombia,Archery,Mixed Team,RENDON MARTINEZ Ana
Colombia,X,Colombia,Archery,Mixed Team,ARCILA Santiago
Czechia,X,Czechia,Archery,Mixed Team,HORACKOVA Marie
Czechia,X,Czechia,Archery,Mixed Team,LI Adam
Egypt,X,Egypt,Archery,Mixed Team,ALI Jana
Egypt,X,Egypt,Archery,Mixed Team,TOLBA Youssof
Spain,X,Spain,Archery,Mixed Team,CANALES Elia
Spain,X,Spain,Archery,Mixed Team,ACHA GONZALEZ Pablo
France,X,France,Archery,Mixed Team,BARBELIN Lisa
France,X,France,Archery,Mixed Team,ADDIS Baptiste
Great Britain,X,Great Britain,Archery,Mixed Team,PITMAN Bryony
Great Britain,X,Great Britain,Archery,Mixed Team,WISE Alex
Germany,X,Germany,Archery,Mixed Team,KROPPEN Michelle
Germany,X,Germany,Archery,Mixed Team,UNRUH Florian
Indonesia,X,Indonesia,Archery,Mixed Team,CHOIRUNISA Diananda
Indonesia,X,Indonesia,Archery,Mixed Team,PANGESTU Arif
India,X,India,Archery,Mixed Team,BHAKAT Ankita
India,X,India,Archery,Mixed Team,BOMMADEVARA Dhiraj
Israel,X,Israel,Archery,Mixed Team,MOSHE Mikaella
Israel,X,Israel,Archery,Mixed Team,DROR Roy
Italy,X,Italy,Archery,Mixed Team,REBAGLIATI Chiara
Italy,X,Italy,Archery,Mixed Team,NESPOLI Mauro
Japan,X,Japan,Archery,Mixed Team,NODA Satsuki
Japan,X,Japan,Archery,Mixed Team,NAKANISHI Junya
Republic of Korea,X,Republic of Korea,Archery,Mixed Team,LIM Sihyeon
Republic of Korea,X,Republic of Korea,Archery,Mixed Team,KIM Woojin
Republic of Moldova,X,Republic of Moldova,Archery,Mixed Team,MIRCA Alexandra
Republic of Moldova,X,Republic of Moldova,Archery,Mixed Team,OLARU Dan
Mexico,X,Mexico,Archery,Mixed Team,VALENCIA Alejandra
Mexico,X,Mexico,Archery,Mixed Team,GRANDE Matias
Netherlands,X,Netherlands,Archery,Mixed Team,SCHLOESSER Gaby
Netherlands,X,Netherlands,Archery,Mixed Team,WIJLER Steve
Slovenia,X,Slovenia,Archery,Mixed Team,PINTARIC Zana
Slovenia,X,Slovenia,Archery,Mixed Team,RAVNIKAR Ziga
Chinese Taipei,X,Chinese Taipei,Archery,Mixed Team,LEI Chien-Ying
Chinese Taipei,X,Chinese Taipei,Archery,Mixed Team,TAI Yu-Hsuan
Türkiye,X,Türkiye,Archery,Mixed Team,GOKKIR Elif Berra
Türkiye,X,Türkiye,Archery,Mixed Team,GAZOZ Mete
Ukraine,X,Ukraine,Archery,Mixed Team,MARCHENKO Veronika
